Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2018,2017-18,3,Grant,4389,Platteville,2018,97,92,5,71,,6,,,8,2,,41,,,,,,,,1,,,,,6,1,,
2020,2019-20,6,Winnebago,4179,Oshkosh Area,2020,726,637,89,436,,81,3,24,20,32,,195,,,2,,,5,,1,2,2,2,,9,1,,1
2018,2017-18,6,Washington,6307,West Bend,2018,574,515,59,380,,59,2,23,56,25,,111,,1,9,,,4,,1,7,9,5,,9,8,,1
2020,2019-20,5,Wood,6685,Wisconsin Rapids,2020,379,353,26,238,,63,2,11,14,13,,90,,,4,,,4,,,,2,1,,4,1,,
2018,2017-18,12,Ashland,840,Butternut,2018,15,13,2,11,,2,,1,1,3,,2,,,,,,,,,,,1,,,1,,
2020,2019-20,7,Brown,2289,Green Bay Area Public,2020,1481,1317,164,724,,279,7,39,28,17,,213,3,,5,,,5,,1,10,3,3,,18,6,,1
2019,2018-19,9,Oneida,3647,Lakeland UHS,2019,187,171,16,107,,27,2,5,15,8,,27,1,1,2,,,3,,,,,,,1,2,,2
2017,2016-17,7,Manitowoc,3290,Manitowoc,2017,404,349,55,228,,72,,13,35,8,,56,,,2,,,2,,,3,1,1,,2,4,,
2018,2017-18,12,Washburn,3654,Northwood,2018,35,34,1,12,,1,1,,,2,,5,,,,,,,,,,1,,,,,,
2019,2018-19,7,Manitowoc,5866,Valders Area,2019,105,102,3,60,,9,,3,10,1,,24,,,1,,,1,,,,,,,1,5,,
2019,2018-19,7,Calumet,3941,New Holstein,2019,88,87,1,63,,15,,11,4,1,,18,,,5,,,1,,,1,,,,,3,,
2021,2020-21,11,Pepin,4270,Pepin Area,2021,11,11,,7,,,1,,,1,,3,,,,,,,,,,,,,,,,
2017,2016-17,1,Milwaukee,6470,Whitnall,2017,194,187,7,156,,24,1,11,15,5,,59,,,2,,,1,,3,4,4,2,,9,4,,
2019,2018-19,1,Ozaukee,2217,Grafton,2019,189,185,4,144,,23,,17,8,9,,56,,1,4,,,3,,,2,2,1,1,4,,,
2018,2017-18,11,Barron,5810,Turtle Lake,2018,33,32,1,16,,3,,,2,2,,2,,,1,,,2,,,,1,,,,,,
2019,2018-19,7,Sheboygan,5278,Sheboygan Falls,2019,129,124,5,96,,19,,6,12,3,,34,,,,,,,,,1,1,1,,3,3,,
2020,2019-20,12,Bayfield,6027,Washburn,2020,33,31,2,26,,8,1,,1,6,,7,,,1,,1,,,,,,,,,,,
2020,2019-20,8,Marinette,3311,Marinette,2020,124,108,16,94,,20,2,3,2,7,,35,,,2,,,1,,1,,1,,,3,1,,
2020,2019-20,6,Fond du Lac,3983,North Fond du Lac,2020,114,103,11,35,,7,,1,,1,,18,,,3,,,,,,,,,,1,,,
2020,2019-20,7,Brown,2604,Howard-Suamico,2020,473,444,29,314,,70,1,22,24,22,,120,,1,4,,,1,,,2,5,1,2,7,5,,1
2019,2018-19,11,Saint Croix,2422,Saint Croix Central,2019,172,149,23,85,,16,3,,1,8,,31,1,1,1,,,2,,2,,3,1,,3,,,
2021,2020-21,12,Ashland,3427,Mellen,2021,25,24,1,11,,6,2,2,,,,,,,,,,,,,,,,,,1,,
2020,2019-20,5,Wood,3906,Nekoosa,2020,100,95,5,57,,15,,2,10,,,19,,,3,,,1,,,,1,,,1,1,,
2017,2016-17,3,Iowa,3633,Mineral Point Unified,2017,60,57,3,44,,10,1,3,3,2,,21,,1,,,,1,,,,,2,,,,,
2021,2020-21,10,Clark,4207,Owen-Withee,2021,40,39,1,20,,10,,1,1,2,,5,,,,,,,,,,,,,,,,
2020,2019-20,7,Sheboygan,5278,Sheboygan Falls,2020,120,119,1,87,,15,1,7,2,5,,48,,,,,,2,,,1,1,1,,2,1,,
2020,2019-20,5,Waupaca,2639,Iola-Scandinavia,2020,44,42,2,36,,6,,1,1,3,,15,,,1,,,,,,,2,,,1,,,
2018,2017-18,10,Clark,7,Abbotsford,2018,51,51,,27,,12,,,3,,1,7,,,,,,,,,,,,,,,,
2020,2019-20,6,Waupaca,3955,New London,2020,199,189,10,97,,23,2,4,2,7,,42,,,1,,,2,,,,3,1,,1,,,
2021,2020-21,2,Dane,1316,De Forest Area,2021,243,233,10,122,,44,1,12,,13,,44,,,,,,,,,1,,,,5,,,
2019,2018-19,10,Taylor,2135,Gilman,2019,27,26,1,12,,4,,,,,,5,,,2,,,,,,,,,,,,,
2021,2020-21,8,Oconto,5670,Suring Public,2021,24,23,1,8,,4,,1,,,,3,,,,,,,,,,,,,,,,
2019,2018-19,1,Milwaukee,721,Brown Deer,2019,130,124,6,85,,29,1,7,2,4,,19,,,2,,,,,1,,1,3,,3,3,,1
2018,2017-18,1,Milwaukee,6470,Whitnall,2018,215,206,9,151,,16,2,15,14,6,,61,,1,4,,,2,,1,1,5,1,,1,9,,1
2018,2017-18,3,Crawford,5124,Seneca Area,2018,25,22,3,10,,5,,,1,,,2,,,,,,,,,,1,,,,,,
2019,2018-19,5,Columbia,1183,Columbus,2019,78,74,4,69,,16,,4,5,6,,20,1,,2,,,1,,1,,1,1,,2,1,,1
2020,2019-20,3,Iowa,2646,Iowa-Grant,2020,46,46,,32,,12,1,1,2,3,,8,,,,,,,,,,,,1,,,,
2017,2016-17,11,Pierce,5586,Spring Valley,2017,52,50,2,42,,10,1,,2,4,,20,,,1,,,,,1,,1,,,1,,,
2018,2017-18,4,Vernon,6321,Westby Area,2018,86,83,3,66,,21,1,3,5,7,,18,1,,,,,1,,1,1,,,,3,2,,
2017,2016-17,7,Door,5642,Sturgeon Bay,2017,100,94,6,61,,15,1,9,2,2,,13,,,1,,,,,1,,,,,3,1,,1
2020,2019-20,6,Winnebago,4088,Omro,2020,99,95,4,49,,8,,2,3,2,,30,,,,,,1,,,1,,,,1,,,
2017,2016-17,8,Shawano,5740,Tigerton,2017,22,22,,10,,6,,2,,,,2,,,,,,,,,,,,,,,,
2021,2020-21,7,Sheboygan,4137,Oostburg,2021,71,70,1,51,,5,,12,,4,,16,,,1,,,,,,,,,,9,1,,1
2020,2019-20,6,Washington,2436,Hartford UHS,2020,308,294,14,207,,22,2,13,6,35,,74,,,6,,,9,,1,1,5,1,,9,4,,
2017,2016-17,10,Eau Claire,1729,Fall Creek,2017,58,56,2,44,,3,1,1,1,3,,18,,,1,,,7,,,,1,,,3,1,,
2019,2018-19,6,Winnebago,3430,Menasha Joint,2019,247,237,10,121,,18,,1,11,2,,39,,,14,,,3,,,1,1,4,,3,4,,
